Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Phone,URL,Languages,Devices_available,Accessibility,Clients,Public,lon,lat
Valley View Library,King,King County Library System,Library,17850 Military Rd S,SeaTac,,98188-8698,US,[+1] 206-242-6044,http://www.kcls.org/valleyview/,"English, Language Line Services",Wi-Fi,None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.27402391156,47.4430167291374
Shadle Library,Spokane,Spokane Public Library,Library,4005 N Cook St,Spokane,,99207-5879,US,[+1] 509-444-5391,http://www.spokanelibrary.org,English,Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.373600699204,47.6936519694439
Freeland Library,Island,Sno-Isle Libraries,Library,5495 Harbor Ave,Freeland,,98249-1357,US,[+1] 360-331-7323,http://www.sno-isle.org,English,Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.527119099082,48.0115311523261
Yakima Central Library,Yakima,Yakima Valley Libraries,Library,102 North 3rd Street,Yakima,,98901,US,[+1] 509-452-8541,http://www.yvl.org,"English, Spanish",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.503843395187,46.6043179978325
Chehalis Timberland Library,Lewis,Timberland Regional Library,Library,76 NE Park St,Chehalis,,98532-0419,US,[+1] 360-748-3301,http://www.trl.org/Locations/Pages/Locations.aspx,English,Wi-Fi,None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.967886830046,46.6642578110854
Street Youth Ministries,King,Street Youth Ministries,Human Services/Non-profit (non-residential)Faith-based,4540 15th Ave NE,Seattle,,98105,US,[+1] 206-524-7301,http://www.streetyouthministries.org/,English,"Computer, Wi-Fi",None,"Adults, Youth: Teen",Limited Users,-122.311870642488,47.6620301409228
Tumwater Timberland Library,Thurston,Timberland Regional Library,Library,7023 New Market St SW,Tumwater,,98501-6563,US,[+1] 360-943-7790,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.912887426394,46.9852058514581
Touchet Library,Walla Walla,Walla Walla Rural Library District,Library,161 Hanson Rd,Touchet,,99361,US,[+1] 509-394-2329,http://www.wwrurallibrary.com/branches/touchet,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-118.674415543524,46.0434108481581
Newport Way Library,King,King County Library System,Library,14250 SE Newport Way,Bellevue,,98006,US,[+1] 425-747-2390,http://www.kcls.org/newportway/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.148469563049,47.5699830132339
Delridge Neighborhood Service Center,King,Delridge Neighborhood Service Center,Government/Public Community Center,5405 Delridge Way S.W.,Seattle,,98106,US,[+1] 206-233-5061,http://www.seattle.gov/neighborhoods/nsc/delridge.htm,,Computer,None,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",All Public,-122.363076869843,47.5536444850369
Ritzville Public Library,,Ritzville Public Library,Library,302 W Main Ave,Ritzville,,99169-1412,US,[+1] 509-659-1222,http://www.ritzcom.net/ritzlib,"English, Spanish","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-118.381688861234,47.1262233032369
Rainier Computer Lab,King,Associated Recreation Council - RecTech,Government/Public Community Center,4600 38th Ave S,Seattle,,98118,US,[+1] 206-386-1919,http://www.seattle.gov/parks/rectech/labs/rainier/,English,"Computer, Wi-Fi",None,"Adults, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.284841917653,47.5617415444929
Hoodsport Timberland Library,Mason,Timberland Regional Library,Library,40 N Schoolhouse Hill Rd,Hoodsport,,98548-0847,US,[+1] 360-877-9339,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-123.141851683394,47.4051103056024
Southeast Yakima Library,Yakima,Yakima Valley Libraries,Library,1211 S 7th St,Yakima,,98901-3509,US,[+1] 509-576-0723,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.492718781685,46.5878604046963
East Side Library,Spokane,Spokane Public Library,Library,4904 W Barnes Rd,Spokane,,99208-9155,US,[+1] 509-444-5376,http://www.spokanelibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.482481105551,47.7408901716821
North Spokane Library,Spokane,Spokane County Library District,Library,44 E Hawthorne Rd,Spokane,,99218-1597,US,[+1] 509-893-8350,http://www.scld.org,English,"Computer, Wi-Fi","Blind/LV, Wheelchair accessible","Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.409724177772,47.7511608948546
Roslyn Public Library,Kittitas,Roslyn Public Library,Library,109 S. First Street,Roslyn,,98941,US,[+1] 509-649-3420,http://www.roslynlibrary.org/,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.99256196557,47.2221792116225
Okanogan Community Library,Okanogan,North Central Regional Library,Library,228 Pine Street,Okanogan,,98840,US,[+1] 509-422-2609,http://www.ncrl.org/okanogan.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-119.580899998065,48.3640957889675
Stanwood Library,Snohomish,Sno-Isle Libraries,Library,9701 271st St NW,Stanwood,,98292-8097,US,[+1] 360-629-3132,http://www.sno-isle.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.363830209406,48.2421183114922
Horn of Africa Services,King,Horn of Africa Services,Human Services/Non-profit (non-residential),4714 Rainier Avenue SouthSuite 105,Seattle,,98118,US,[+1] 206-760-0550,http://hoas.org/,"Amharic, Oromo, Somali, Tigrinya",Computer,None,"Adults, Immigrants/Refugees, Low Income, Small Businesses, Youth: Teen",All Public,-122.286461421771,47.5601887428845
Selah Library,Yakima,Yakima Valley Libraries,Library,106 South Second Street,Yakima,,98942,US,[+1] 509-698-7345,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.504036413083,46.601168689821
Southeast Neighborhood Service Center,King,Southeast Neighborhood Service Center,Government/Public Community Center,3815 S Othello St. Suite 105,Seattle,,98118,US,[+1] 206-233-5061,http://www.seattle.gov/neighborhoods/nsc/southeast.htm,,Computer,None,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",All Public,-122.284458295231,47.5369785116576
Broadview Branch,King,Seattle Public Library,Library,12755 Greenwood Ave. N.,Seattle,,98133,US,[+1] 206-684-7519,http://www.spl.org/locations/broadview-branch/bro-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.355610406058,47.7229127243164
Richland Public Library,Benton,Richland Public Library,Library,955 Northgate Dr,Richland,,99352-3539,US,[+1] 509-943-7450,http://www.richland.lib.wa.us,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-119.278067469251,46.2797706638987
University Neighborhood Service Center,King,University Neighborhood Service Center,Government/Public Community Center,4534 University Way NE,Seattle,,98105,US,[+1] 206-233-5061,http://www.seattle.gov/neighborhoods/nsc/university.htm,,Computer,None,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",All Public,-122.313045494411,47.662370365304
Jefferson Terrace Computer Lab,King,"Jefferson Terrace Computer Lab Committee, Seattle Housing Authority, and Full Life Care",Housing,800 Jefferson Street,Seattle,,98104-2401,US,[+1] 206-382-0763,http://www.seattlehousing.org/housing/public/locations/jefferson-terrace/,English,"Computer, Wi-Fi","Blind/LV, Wheelchair accessible","Adults, Disabled, Immigrants/Refugees, Low Income, On-site Residents, Seniors",Limited Users,-122.325182,47.604519
Kenmore Library,King,King County Library System,Library,6531 NE 181 St,Kenmore,,98028-2703,US,[+1] 425-486-8747,http://www.kcls.org/kenmore/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.252323270993,47.7595421105698
Packwood Timberland Library,Lewis,Timberland Regional Library,Library,109 W. Main Street,Packwood,,98361-0589,US,[+1] 360-494-5111,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-121.669389999848,46.6101900000686
Maple Valley Library,King,King County Library System,Library,21844 SE 248th St,Maple Valley,,98083-8582,US,[+1] 425-432-4620,http://www.kcls.org/maplevalley/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.04904951271,47.3796415057326
New Futures Windsor Heights,King,New Futures,Housing,17229 32nd Ave SCommunity Center,SeaTac,,98188,US,[+1] 206-901-0180,http://newfutures.org/our-programs/our-sites/windsor-heights/,"English, Spanish",Computer,None,On-site Residents,Limited Users,-122.274260000198,47.4340600002689
Fife Library,Pierce,Pierce County Library Sytem,Library,6622 20th St. E,Fife,,98424,US,[+1] 253-548-3323,http://www.piercecountylibrary.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.341149307827,47.2389695539095
Lake Forest Park Library,King,King County Library System,Library,17171 Bothell Way NE,Lake Forest Park,,98155-5534,US,[+1] 206-362-8860,http://www.kcls.org/lakeforestpark/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.27892521662,47.7525903512833
DuPont Library,Pierce,Pierce County Library Sytem,Library,1450 Wilminton Dr,DuPont,,98237-8771,US,[+1] 253-548-3326,http://www.piercecountylibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.642209767653,47.0904687465207
Redmond Library,King,King County Library System,Library,15990 NE 85th St,Redmond,,98052-3531,US,[+1] 425-885-1861,http://www.kcls.org/redmond/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.129601786875,47.6785761482719
Mattawa Community Library,Grant,North Central Regional Library,Library,101 Manson Lane,Mattawa,,99349,US,[+1] 509-932-5507,http://www.ncrl.org/mattawa.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-119.900000000399,46.7377700000856
Federal Way 320th Library,King,King County Library System,Library,848 S 320th St,Federal Way,,98003-5346,US,[+1] 253-839-0257,http://www.kcls.org/320th/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.321427175724,47.3151870958927
Longview Public Library,Cowlitz,Longview Public Library,Library,1600 Louisiana St,Longview,,98632-2993,US,[+1] 360-442-5300,http://www.longviewlibrary.org/,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.938146250537,46.1402048781716
University Place Library,Pierce,Pierce County Library Sytem,Library,3609 Market Place W.,Pierce,,98375,US,[+1] 253-548-3307,http://www.piercecountylibrary.org,"Chinese, English, Korean, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.536231,47.225832
Aberdeen Timberland Library,Grays Harbor,Timberland Regional Library,Library,121 E Market St,Aberdeen,,98520-5292,US,[+1] 360-533-2360,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-123.817701181633,46.9755851111884
Wenatchee Community Library,Chelan,North Central Regional Library,Library,310 Douglas St,Wenatchee,,98801-2864,US,[+1] 509-662-5021,http://www.ncrl.org/wenatchee.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.314392216495,47.4233035902551
Federal Way Library,King,King County Library System,Library,34200 1st Way S,Federal Way,,98003-6508,US,[+1] 253-838-3668,http://www.kcls.org/federalway/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.332524809566,47.2948264451494
Montesano Timberland Library,Grays Harbor,Timberland Regional Library,Library,121 South 4th Street,Montesano,,98563-3794,US,[+1] 360-249-4211,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-123.605424627824,46.9809076587047
Lynden Public Library,Whatcom,Whatcom County Library System,Library,216 4th St,Lynden,,98264-1980,US,[+1] 360-354-4883,http://www.wcls.org,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.452552547546,48.9443064895487
Northeast Branch,King,Seattle Public Library,Library,6801 35th Ave. N.E.,Seattle,,98115,US,[+1] 206-684-7539,http://www.spl.org/locations/northeast-branch/net-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.290382579273,47.6778566906485
Airway Heights Library,Spokane,Spokane County Library District,Library,1213 S. Lundstrom St,Airway Heights,,99001,US,[+1] 509-893-8250,http://www.scld.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.593079728714,47.6444918433614
White Center Library,King,King County Library System,Library,11220 16th Ave Sw,Seattle,,98146-3579,US,[+1] 206-243-0233,http://www.kcls.org/whitecenter/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.355151751823,47.5018863491753
Chinese Information and Service Center,King,Chinese Information and Service Center,Human Services/Non-profit (non-residential),611 S Lane St,Seattle,,98104,US,[+1] 206-624-5633,http://www.cisc-seattle.org/,"Chinese, Cantonese, Mandarin, Toisanese, Taiwanese, Hakka, Chiuchow, Shanghainese, Fukienese","Computer, Wi-Fi","Blind/LV, None, Wheelchair accessible","Adults, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.325633593917,47.596607050888
Central Neighborhood Service Center,King,Central Neighborhood Service Center,Government/Public Community Center,2301 S. Jackson St,Seattle,,98144,US,[+1] 206-233-5061,http://www.seattle.gov/neighborhoods/nsc/central.htm,English,Computer,None,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",All Public,-122.301416,47.598465
Jack Straw Productions,King,Jack Straw Productions,Human Services/Non-profit (non-residential),4261 Roosevelt Way NE,Seattle,,98105-6999,US,[+1] 206-634-0919,http://www.jackstraw.org,English,Computer,Blind/LV,"Adults, Youth: Pre-teen, Youth: Teen",Limited Users,-122.317811901166,47.659303677184
Mountlake Terrace Library,Snohomish,Sno-Isle Libraries,Library,23300 58th Ave W,Mountlake Terrace,,98043-4630,US,[+1] 425-776-8722,http://www.sno-isle.org,"Chinese, English, Spanish, French, ASL","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.31118600881,47.7874590894163
Skykomish Library,King,King County Library System,Library,100 5th St,Skykomish,,98288,US,[+1] 360-677-2660,http://www.kcls.org/skykomish/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-121.360784960674,47.7086683377757
Winthrop Community Library,Okanogan,North Central Regional Library,Library,49 Highway 20,Winthrop,,98862,US,[+1] 509-996-2685,http://www.ncrl.org/Winthrop.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.177560000093,48.4737300002394
Kingsgate Library,King,King County Library System,Library,12315 NE 143rd St,Kirkland,,98034-1415,US,[+1] 425-821-7686,http://www.kcls.org/kingsgate/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.176321566297,47.7300083751276
Naselle Timberland Library,Pacific,Timberland Regional Library,Library,4 Parpala Road,Naselle,,98638-0190,US,[+1] 360-484-3877,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-123.812161357933,46.3658088024419
Ephrata Community Library,Grant,North Central Regional Library,Library,45 Alder St NW,Ephrata,,98823,US,[+1] 509-754-3971,http://www.ncrl.org/Ephrata.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-119.549840984602,47.3207869998714
Olympia Timberland Library,Thurston,Timberland Regional Library,Library,313 8th Ave SE,Olympia,,98501-1307,US,[+1] 360-352-0595,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.898054474471,47.0417122600028
Magnolia Branch,King,Seattle Public Library,Faith-based,2801 34th Ave. W.,Seattle,,98199,US,[+1] 206-386-4225,http://www.spl.org/locations/magnolia-branch/mag-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.401035161758,47.6451483484428
Prescott Library,Walla Walla,Walla Walla Rural Library District,Library,103 S D Street,Prescott,,99348,US,[+1] 509-849-2411,http://www.wwrurallibrary.com/branches/prescott,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-118.314758677567,46.2994118570186
Raymond Timberland Library,Pacific,Timberland Regional Library,Library,507 Duryea St,Raymond,,98577-1829,US,[+1] 360-942-2408,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-123.73082796569,46.6866427998534
Plaza Library,Walla Walla,Walla Walla Rural Library District,Library,1640 Plaza Way,Walla Walla,,99362,US,[+1] 509-525-5161,http://www.wwrurallibrary.com/branches/plaza,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-118.346107009517,46.0481799969403
Orting Library,Pierce,Pierce County Library Sytem,Library,202 Washington Ave S,Orting,,98360,US,[+1] 253-548-3312,http://www.piercecountylibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.202527810231,47.0967867410772
Port Townsend Public Library,Jefferson,Port Townsend Public Library,Library,1220 Lawrence St,Port Townsend,,98368-6527,US,[+1] 360-385-3181,http://ptpubliclibrary.org/,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.762959760632,48.116514572624
Brier Library,Snohomish,Sno-Isle Libraries,Library,23303 Brier Rd,Brier,,98036-8247,US,[+1] 425-483-0888,http://www.sno-isle.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.274239748847,47.7870253917852
Vista Hermosa Library,Walla Walla,Walla Walla Rural Library District,Library,76 Sara Lynne Ln,Prescott,,99348,US,[+1] 509-749-2099,http://www.wwrurallibrary.com/branches/vistahermosa,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-118.719929130011,46.311680711171
Downtown Spokane Library,Spokane,Spokane Public Library,Library,906 W Main Ave,Spokane,,99201-0976,US,[+1] 509-444-5334,http://www.spokanelibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.425302210928,47.6590338805752
Burbank Library,Walla Walla,Walla Walla Rural Library District,Library,875 Lake Rd,Burbank,,99323-9596,US,[+1] 509-545-6549,http://www.wwrurallibrary.com/branches/burbank,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-118.992325880882,46.2095785795119
Clallam Bay Library,Clallam,North Olympic Library System,Library,16990 Hwy 12,Clallam Bay,,98326,US,[+1] 360-963-2414,http://www.nols.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-124.260150000222,48.2537100001166
Ellensburg Public Library,Kittitas,Ellensburg Public Library,Library,209 N Ruby St,Ellensburg,,98926-3338,US,[+1] 509-962-7250,http://www.ellensburglibrary.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.544501744132,46.9943449687196
Union Gap Library,Yakima,Yakima Valley Libraries,Library,3104 1st St,Union Gap,,98903-1817,US,[+1] 509-452-4252,http://www.yvl.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-120.476611936748,46.5571771264184
Oakville Timberland Library,Grays Harbor,Timberland Regional Library,Library,204 Main Street,Oakville,,98568-0079,US,[+1] 360-273-5305,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-123.232808156427,46.8399023161485
Pateros Community Library,Okanogan,North Central Regional Library,Library,174 Pateros Mall,Pateros,,98846,US,[+1] 509-923-2298,http://www.ncrl.org/pateros.htm,"English, Russian, Spanish",Adaptive Laptops,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-119.902064037271,48.0523617932079
Southcenter Library Connection,King,King County Library System,Library,633 Southcenter Mall,Tukwila,,98188-2816,US,[+1] 206-242-6044,http://www.kcls.org/southcenter/,"English, Language Line Services",Adaptive Laptops,Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.260202330183,47.460637616332
Duvall Library,King,King County Library System,Library,15619 NE Main St,Duvall,,98019-0339,US,[+1] 425-788-1173,http://www.kcls.org/duvall/,"English, Language Line Services",Adaptive Laptops,Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-121.98614000006,47.7404799998522
Barkley Library,Whatcom,Bellingham Public Library,Library,3111 Newmarket St. Suite 103,Bellingham,,98226,US,[+1] 360-778-7325,http://www.bellinghampubliclibrary.org,English,Adaptive Laptops,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.443582086964,48.7719358986137
Greenwood Branch,King,Seattle Public Library,Library,8016 Greenwood Ave. N.,Seattle,,98103,US,[+1] 206-684-4086,http://www.spl.org/locations/greenwood-branch/gwd-computers-and-equipment,"Amharic, English, Spanish, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.355277656907,47.687326551617
Mercer Island Library,King,King County Library System,Library,4400 88th Ave SE,Mercer Island,,98040,US,[+1] 206-236-3537,http://www.kcls.org/mercerisland/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.221520538036,47.567239724601
Asotin County Library,Asotin,Asotin County Library,Library,417 Sycamore St,Clarkston,,99403-2666,US,[+1] 509-758-5454,http://www.aclib.org/,English,"Computer, Wi-Fi",None,"Adults, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-117.043144781316,46.412644630269
Bothell Library,King,King County Library System,Library,18215 98th Ave NE,Bothell,,98011-3336,US,[+1] 425-486-7811,http://www.kcls.org/bothell/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.209713393245,47.7604504258194
Sumner Library,Pierce,Pierce County Library Sytem,Library,1116 Fryar Ave,Sumner,,98498-2235,US,[+1] 253-548-3306,http://www.piercecountylibrary.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.243855137337,47.2044211265042
Columbia Branch,King,Seattle Public Library,Library,21 Rainier Ave. S.,Seattle,,98118,US,[+1] 206-386-1908,http://www.spl.org/locations/columbia-branch/col-computers-and-equipment,"English, Vietnamese, Language Line Services","Computer, Wi-Fi","Blind/LV, Wheelchair accessible","Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,-122.329439999756,47.6035599998942
